年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,サイモンブレジール,牡,5,森田,55.0,106.7,15,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,2,ジャーニーズメモリー,牡,5,上里,55.0,35.0,12,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,3,グケルバーロック,牡,4,藤田,58.0,5.2,2,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,4,ハルシーガ,牡,4,吉田隼,58.0,15.0,7,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,5,フルドド,牝,4,コンサルベ,56.0,3.6,1,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,6,ダティースタイル,牝,5,小林脩,54.0,25.3,10,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,7,クリノミニスター,牡,7,丹内,58.0,30.1,11,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,8,シューオグロッケン,牡,4,小沢,58.0,8.5,5,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,9,ワンウェイトゥヘル,牡,4,長岡,58.0,22.0,8,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,10,リッキースタイル,牝,4,舟山,56.0,7.8,4,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,11,スーパーバイザー,牡,5,菊沢,58.0,6.2,3,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,12,クインズメレンゲ,牝,4,田山,54.0,13.9,6,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,13,アイファーファイト,牡,7,町田,58.0,44.9,14,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,14,タイチラボール,牡,4,永島,56.0,24.1,9,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
2026,5,3,15,サイコウダネ,牡,5,河原田,54.0,40.0,13,新潟,12,4歳以上1勝クラス,1200,稍重,15,ダ
