年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,ゴールデンオスカー,牡,5,古川吉,55.0,43.8,16,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,2,クロニクル,セ,7,菱田,56.0,27.4,13,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,3,ナッカーフェイス,牡,7,秋山稔,54.0,40.8,15,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,4,レイズカイザー,セ,6,吉村,55.0,17.8,8,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,5,ハクサンアイリス,牡,4,岩田望,56.0,6.8,3,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,6,ルシフェル,牝,5,松山,54.0,5.7,2,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,7,ゴッドブルービー,牡,6,角田和,57.0,18.8,9,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,8,サンダーバース,セ,5,幸,54.0,32.4,14,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,9,グギザル,牡,7,小林徹,56.0,13.9,7,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,10,スニーカースキル,牡,4,飯田良,54.0,20.2,10,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,11,グランテムショウ,牡,6,川須,54.0,21.4,11,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,12,トラペジスト,牡,5,北村友,56.0,5.3,1,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,13,ハワイアンタイム,セ,6,太宰,56.0,9.7,5,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,14,マッシャーブルム,牡,5,高倉,57.0,11.9,6,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,15,テーオールビー,牡,5,藤懸,53.0,26.0,12,京都,12,東大路S,1400,稍重,16,ダ
2026,5,3,16,ヤマニンアストロン,牡,5,武豊,56.0,7.8,4,京都,12,東大路S,1400,稍重,16,ダ
