年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,クールベイビー,牝,5,丸山,55.0,23.5,10,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,2,マルプリ,牝,6,コンサルベ,52.0,40.2,12,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,3,ペイシャカプリッツー,牝,4,川端,51.0,45.4,14,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,4,ヒラボクミニー,牝,5,舟山,54.0,42.8,13,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,5,エクセルゴールド,牡,5,杉原,54.0,54.2,15,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,6,クリノハレルヤ,牝,5,和田陽,52.0,19.3,9,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,7,イスラコラソン,牡,4,今村,53.0,9.9,4,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,8,ハニーリリエ,牝,4,菊沢,54.0,6.4,2,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,9,ヴェナートル,牡,4,武藤,56.0,15.4,6,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,10,ホークレア,牝,5,横山琉,51.0,54.7,16,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,11,ブラヴブラヴリ,セ,4,菊田,56.0,11.4,5,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,12,リリーフィールド,牝,4,高田,55.0,6.4,3,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,13,ラトルシェ,牝,4,丹内,54.0,18.4,8,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,14,タミゼ,牝,5,田山,51.0,24.9,11,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,15,スペルキャスター,牝,6,小林凌,53.0,15.4,7,新潟,10,邁進特別,1000,稍重,16,芝
2026,5,3,16,カウンターセブン,牡,4,小林美,56.0,3.0,1,新潟,10,邁進特別,1000,稍重,16,芝
