年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,タイガーゲイト,牡,3,木幡巧,57.0,68.2,11,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,2,モズエムオピピー,牡,3,横山武,57.0,8.9,4,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,3,クラージュスター,牡,3,横山和,57.0,56.4,10,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,4,シャインネージュ,牝,3,石橋脩,55.0,39.4,9,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,5,タマモフレイキン,牡,3,☆谷原,53.0,34.3,8,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,6,スティールウィーク,牡,3,田辺,57.0,3.7,2,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,7,カカカールハット,牡,3,北村宏,57.0,68.2,12,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,8,カンマライフ,牡,3,松岡,57.0,12.2,5,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,9,アーデントアイ,牡,3,高杉,57.0,24.1,7,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,10,スタートウディ,牡,3,岩田望,57.0,13.0,6,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,11,トワイライトビュー,牡,3,原,57.0,6.7,3,東京,4,3歳未勝利,1500,稍重,12,芝
2026,5,3,12,マサッチェハマー,牡,3,ディー,57.0,2.3,1,東京,4,3歳未勝利,1500,稍重,12,芝
