年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,オメガディコン,牡,3,岩田康,57.0,28.0,5,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,2,イルミナジーディー,牡,3,佐々木,55.0,39.3,9,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,3,マジックオーラ,牡,3,長浜,55.0,344.2,15,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,4,トランスマーレ,牡,3,横山武,55.0,20.9,4,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,5,ラヴィニアパーク,牡,3,高杉,57.0,16.5,3,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,6,ユマハム,牡,3,三浦,57.0,14.8,2,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,7,ルミナスレイナ,牡,3,吉田豊,55.0,119.5,11,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,8,ブルースパーダ,牡,3,原,57.0,136.8,12,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,9,ラインクインビー,牡,3,木幡巧,55.0,34.4,6,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,10,オープンザグランドラ,牡,3,ディー,57.0,1.1,1,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,11,アラムベイ,牡,3,荻野極,57.0,37.0,8,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,12,キタノタイキ,牡,3,佐藤,54.0,284.0,14,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,13,ブライスフェアリー,牡,3,松岡,55.0,183.2,13,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,14,サトノリファル,牡,3,北村宏,57.0,83.5,10,東京,5,3歳未勝利,1800,良,15,芝
2026,5,3,15,キョンチャン,牡,3,江田照,55.0,34.4,7,東京,5,3歳未勝利,1800,良,15,芝
