race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,1,1,ミツカネベネラ,牝3,55.0,横山和,美浦鈴木伸,417.1,18
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,2,1,レイクラシック,牝3,55.0,ディー,栗東新谷,93.5,11
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,3,2,アランカール,牝3,55.0,武豊,栗東斉藤崇,7.7,4
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,4,2,ロングトールサリー,牝3,55.0,戸崎圭,栗東福永,132.3,14
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,5,3,リアライズルミナス,牝3,55.0,津村,栗東橋口,155.8,15
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,6,3,ロンギングセリーヌ,牝3,55.0,石橋脩,美浦竹内,104.6,12
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,7,4,スタニングレディ,牝3,55.0,三浦,美浦高木,221.2,16
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,8,4,スマートプリエール,牝3,55.0,原,栗東大久保,37.6,8
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,9,5,トリニティ,牝3,55.0,西村淳,栗東安田,55.7,9
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,10,5,スターアニス,牝3,55.0,松山,栗東高野,3.8,2
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,11,6,アメティスタ,牝3,55.0,横山武,栗東牧浦,87.4,10
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,12,6,ドリームコア,牝3,55.0,ルメール,美浦大竹,8.0,5
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,13,7,エンネ,牝3,55.0,坂井,栗東吉岡,8.0,6
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,14,7,ソルパッサーレ,牝3,55.0,浜中,栗東四位,235.5,17
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,15,7,アンジュドジョワ,牝3,55.0,岩田望,栗東福永,37.4,7
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,16,8,ジュウリョクピエロ,牝3,55.0,今村,栗東寺島,5.2,3
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,17,8,スウィートハピネス,牝3,55.0,高杉,栗東北出,121.8,13
202605021011,オークス(G1) 出馬表 | 2026年5月24日 東京11R レース情報(JRA) - netkeiba,18,8,ラフターラインズ,牝3,55.0,レーン,美浦小笠,3.4,1
