年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,マッシブショット,牡,3,江田照,57.0,36.8,12,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,2,キタノドンカルロ,牡,3,柴田大,57.0,24.0,9,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,3,リトルコリンズ,牡,3,石橋脩,57.0,114.2,16,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,4,キーチファシン,牡,3,△長浜,55.0,11.2,6,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,5,レピテニット,牡,3,ディー,57.0,5.9,3,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,6,エスブルファイン,牡,3,木幡巧,57.0,48.5,13,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,7,ブルーミラティア,牡,3,菅原明,57.0,10.1,5,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,8,ハピネスター,牡,3,松岡,57.0,18.8,8,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,9,レオスキーム,牡,3,原,57.0,73.7,15,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,10,レイズレガシー,牡,3,横山武,57.0,5.4,2,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,11,ライカ,牡,3,大野,57.0,3.5,1,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,12,セッサナ,牡,3,三浦,57.0,8.7,4,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,13,プリプリプリン,牝,3,▲佐藤,52.0,35.4,11,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,14,マイネルボドロス,牡,3,嘉藤,57.0,14.2,7,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,15,ネオネスーマン,牡,3,団野,57.0,32.4,10,東京,3,3歳未勝利,1400,稍重,16,ダ
2026,5,3,16,イントゥゴールデン,牡,3,西塚,57.0,62.1,14,東京,3,3歳未勝利,1400,稍重,16,ダ
