race_id,race_name,course,distance,track_type,weather,ground,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,1,1,タマモランプ,牡5,58.0,池添,栗東池添,14.3,3
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,2,2,ドルチェリターン,牡4,58.0,鮫島駿,栗東前川,10.7,2
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,3,3,ロットブラータ,牡4,58.0,藤懸,栗東平田,15.0,4
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,4,4,フェアリーグレン,牝4,56.0,角田和,栗東吉田,45.0,8
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,5,5,レジェンドシップ,セ6,58.0,丹内,栗東佐藤悠,1.1,1
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,6,6,ニホンピロゴルディ,牡5,58.0,幸,栗東安達,21.3,5
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,7,7,アットアブラスト,セ6,58.0,吉村,栗東小椋,30.7,7
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,8,7,シェーラ,牝4,54.0,△田山,栗東牧田,21.5,6
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,9,8,シヴァールバーニ,牡4,55.0,▲川端,栗東畑端,99.2,10
202608030606,４歳以上１勝クラス 出馬表,"12:45発走 / 芝2200m (右 外 C)
/ 天候:晴 / 馬場:良",2200,芝,晴,良,10,8,トラストエムシー,牡6,58.0,渡辺竜,栗東北出,60.1,9
