年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,ヴェルミセル,牝,6,飯田良,56.0,72.0,9,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,2,サンライズレイア,牡,5,池添,58.0,172.4,13,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,3,アドマイヤテラ,牡,5,武豊,58.0,3.0,2,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,4,アクアヴァーナル,牡,5,松山,56.0,22.5,4,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,5,ケイアイサンデラ,セ,6,藤懸,58.0,206.7,15,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,6,エヒト,牡,9,川田,58.0,112.2,11,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,7,クロワデュノール,牡,4,北村友,58.0,1.9,1,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,8,シュヴァリエローズ,牡,5,岩田望,58.0,27.6,5,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,9,ブレシャスデイ,牡,4,吉村,58.0,196.7,14,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,10,マイネルカンパーナ,牡,6,津村,58.0,102.3,10,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,11,タガノデュード,牡,5,古川吉,58.0,44.7,8,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,12,ヘデントール,牡,5,ルメール,58.0,4.8,3,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,13,ミステリーウェイ,セ,8,松本,58.0,42.0,6,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,14,ホーエリート,牝,5,戸崎圭,56.0,43.3,7,京都,11,天皇賞(春),3200,良,15,芝
2026,5,3,15,ヴェルテンベルク,牡,6,松若,58.0,143.6,12,京都,11,天皇賞(春),3200,良,15,芝
