年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,フチサンテチャ,牡,3,岡田,57.0,54.4,12,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,2,エクストララッシュ,牡,3,岩田望,57.0,3.8,1,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,3,クリコバロー,牡,3,酒井,57.0,25.1,8,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,4,アスクハッピーマン,牡,3,戸崎圭,57.0,4.6,2,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,5,ポップアップ,セ,3,吉村,57.0,14.7,7,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,6,ジャストグレース,牡,3,古川吉,57.0,48.0,10,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,7,クリノリキュー,牡,3,幸,57.0,5.4,4,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,8,メイショウゴウケツ,牡,3,本草,57.0,50.7,11,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,9,グランワールド,牡,3,松山,57.0,8.0,5,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,10,ピラポクワライア,牡,3,角田和,57.0,12.8,6,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,11,グランジャマン,牡,3,菱田,57.0,5.1,3,京都,2,3歳未勝利,1900,稍重,12,ダ
2026,5,3,12,メイショウサッソウ,牡,3,加藤,57.0,33.0,9,京都,2,3歳未勝利,1900,稍重,12,ダ
