年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,バンドシェル,牡,5,飯田良,58.0,20.2,9,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,2,サウスバンク,牡,4,酒井,56.0,13.7,5,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,3,ルシード,牡,4,北村友,58.0,3.7,1,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,4,レッドエヴァンス,セ,5,ルメール,58.0,5.1,2,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,5,メイショウピース,牝,6,松山,56.0,29.8,11,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,6,タームエクシアス,牡,7,荻野琢,58.0,65.0,17,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,7,アンビバレント,牡,6,岩田望,58.0,10.8,4,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,8,ドゥアムール,牝,4,角田和,56.0,44.7,13,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,9,ユウセキ,牡,4,レーン,58.0,5.2,3,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,10,ジャスパーノワール,牡,4,松若,58.0,61.6,16,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,11,ブラックゾーン,牡,4,菱田,56.0,97.9,18,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,12,バタクロスローナ,牝,6,池添,56.0,32.3,12,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,13,タガノシャーンス,牝,6,川須,56.0,56.0,15,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,14,エヴァンスウィート,牝,5,武豊,56.0,16.0,6,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,15,トーラスシャイン,牡,5,松本,58.0,24.6,10,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,16,ディアドコス,牡,6,吉村,58.0,17.7,8,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,17,アスティスプマンテ,牝,5,戸崎圭,56.0,17.2,7,京都,10,朱雀S,1200,稍重,18,芝
2026,5,3,18,トーセントラム,牡,6,秋山稔,58.0,54.4,14,京都,10,朱雀S,1200,稍重,18,芝
