年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,アスクワームキセキ,牡,3,和田陽,54.0,9.8,3,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,2,モンロイヤル,牡,3,斎藤,57.0,10.2,5,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,3,ラップトップ,牡,3,森田,52.0,33.3,10,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,4,レインボーステート,牡,3,舟山,55.0,3.0,1,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,5,ジワタネホ,牡,3,小林美,52.0,15.6,6,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,6,アイルトゥーヴェン,牡,3,田山,55.0,41.5,11,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,7,バーグアップ,牡,3,藤田,57.0,44.1,12,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,8,ランスオブラヴ,牝,3,柴田裕,53.0,25.1,8,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,9,ルーリングクラス,牡,3,丸山,57.0,9.8,4,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,10,ウインアイルグロウ,牡,3,石川,57.0,18.9,7,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,11,ワールドブレイヴ,牡,3,菊沢,57.0,3.0,2,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,12,ウォーグ,牡,3,丹内,57.0,87.4,14,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,13,タイロヴェンティ,牡,3,小沢,55.0,44.1,13,新潟,5,3歳未勝利,1800,稍重,14,芝
2026,5,3,14,ファインブライト,牡,3,杉原,57.0,32.2,9,新潟,5,3歳未勝利,1800,稍重,14,芝
