年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,マッシブショット,牡,3,江田照,57.0,44.3,12,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,2,キタノドンカルロ,牡,3,柴田大,57.0,26.1,9,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,3,リトルコリンズ,牡,3,石橋脩,57.0,134.1,16,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,4,キーチャステン,牡,3,長浜,55.0,13.7,6,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,5,レピユニット,牡,3,ディー,57.0,6.0,3,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,6,エスブルファイン,牡,3,木幡巧,57.0,56.6,13,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,7,ブルーミーティア,牡,3,菅原明,57.0,8.7,5,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,8,ハピナスター,牡,3,松岡,57.0,24.5,8,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,9,レオスキーム,牡,3,原,57.0,61.3,14,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,10,レイズレガシー,牡,3,横山武,57.0,5.0,2,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,11,ライカ,牡,3,大野,57.0,3.2,1,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,12,セッサナ,牡,3,三浦,57.0,8.3,4,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,13,プリプリプリン,牝,3,佐藤,52.0,43.1,11,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,14,マイネルテオドロス,牡,3,高杉,57.0,16.4,7,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,15,ネオシューマン,牡,3,団野,57.0,26.6,10,東京,2,3歳未勝利,1400,稍重,16,ダ
2026,5,3,16,イントゥゴールデン,牡,3,西塚,57.0,84.9,15,東京,2,3歳未勝利,1400,稍重,16,ダ
