年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,スーパーガール,牝,3,佐藤,52.0,44.2,12,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,2,ワンモメンタム,牡,3,高杉,57.0,5.6,3,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,3,アースインハマー,牡,3,北村宏,57.0,57.6,15,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,4,ムーランオランジュ,牡,3,小崎,57.0,32.2,11,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,5,ビュール,牡,3,木幡巧,57.0,77.6,16,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,6,タイセイブルーム,牡,3,長浜,55.0,54.3,13,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,7,リフレックス,牡,3,三浦,57.0,13.7,6,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,8,トヨサカエ,牡,3,吉田豊,57.0,6.4,4,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,9,グラディアム,牡,3,横山武,55.0,16.6,7,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,10,ユキノグラス,牡,3,佐々木,57.0,28.5,9,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,11,ベルゼビュー卜,牡,3,荻野極,57.0,10.8,5,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,12,ゴディアンフィンチ,牡,3,横山和,57.0,16.8,8,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,13,バータリプトラ,牡,3,岩田康,57.0,56.7,14,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,14,フルミネラル,牡,3,ディー,57.0,4.1,1,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,15,チームユートピア,牝,3,田辺,55.0,4.9,2,東京,6,3歳1勝クラス,1400,稍重,16,ダ
2026,5,3,16,アグネスクレスト,牡,3,石橋脩,57.0,29.4,10,東京,6,3歳1勝クラス,1400,稍重,16,ダ
