年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,スターエンブレム,牡,4,横山琉,58.0,6.0,3,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,2,サンビアノソナタ,牝,5,上里,53.0,56.9,10,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,3,アンドローゼス,牝,5,丸山,56.0,2.4,1,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,4,アドモアゼルスク,牝,4,小沢,56.0,6.9,4,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,5,ナムラブーニン,牡,5,吉田隼,58.0,20.4,8,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,6,マイネルアレス,牡,4,丹内,58.0,8.6,5,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,7,エニエフェアリー,牝,4,舟山,54.0,5.6,2,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,8,ケイツークローン,セ,6,菊沢,58.0,13.9,6,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,9,サトノシャルレーヌ,牝,4,田山,54.0,18.9,7,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,10,クラウドセイル,牡,6,遠藤,55.0,70.9,11,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,11,グランツローゼ,牝,4,森田,53.0,42.9,9,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
2026,5,3,12,レゼールドラペ,セ,4,石神道,55.0,72.4,12,新潟,8,4歳以上1勝クラス,1800,稍重,12,ダ
