年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,シーンオブドリーム,牡,3,斎藤,57.0,7.5,5,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,2,レジェルテ,牡,3,和田陽,54.0,10.9,6,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,3,グロロ,牡,3,田山,55.0,5.4,3,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,4,リュウゴビュア,牡,3,大久保,54.0,97.2,14,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,5,ユイアンゴロー,牡,3,原田和,57.0,65.4,13,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,6,ゴイネステソーロ,牡,3,丹内,57.0,3.8,1,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,7,ブリックアブラック,牡,3,武藤,57.0,27.0,8,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,8,トコトコクマチ,牡,3,柴田裕,55.0,47.9,10,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,9,ファブロッキーズ,牡,3,高田,57.0,61.8,12,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,10,ポマーシュム,牡,3,中井,57.0,41.0,9,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,11,ボールドタワー,牡,3,横山琉,57.0,4.9,2,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,12,サルサブラヴァ,牡,3,石川,57.0,5.9,4,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,13,セナサンファイア,牡,3,今村,55.0,14.9,7,新潟,3,3歳未勝利,1800,稍重,14,ダ
2026,5,3,14,カシノスパーク,牡,3,石神道,54.0,47.9,11,新潟,3,3歳未勝利,1800,稍重,14,ダ
