年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,モントゥリエ,牡,3,田辺,55.0,8.3,3,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,2,ダイヤテソーロ,牡,3,石橋脩,55.0,21.4,11,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,3,フリー,牡,3,横山武,55.0,3.1,1,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,4,ワッフル,牡,3,柴田大,55.0,15.8,8,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,5,カテドラルフォーツ,牡,3,原,57.0,37.9,12,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,6,ベアサナエワン,牡,3,大野,55.0,7.9,2,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,7,トウカイティエラ,牡,3,佐藤,52.0,52.0,14,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,8,カーブドフェザー,牡,3,団野,55.0,9.0,4,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,9,エルアン,牡,3,長浜,55.0,18.3,10,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,10,シーナノクナタ,牡,3,嶋田,57.0,52.0,15,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,11,ブルージンジャー,牡,3,高杉,55.0,14.2,6,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,12,ビッグマリック,牡,3,吉田豊,57.0,15.4,7,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,13,ミアエッテ,牡,3,岩田康,57.0,16.4,9,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,14,ベストバラディア,牡,3,木幡巧,55.0,53.5,16,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,15,アドマイヤウク,牡,3,ディー,55.0,43.8,13,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,16,ケイツースクード,牡,3,西塚,57.0,79.7,18,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,17,レヴニランジェ,牡,3,佐々木,55.0,12.5,5,東京,4,3歳未勝利,1600,良,18,芝
2026,5,3,18,アームアンフルール,牡,3,木幡初,57.0,57.4,17,東京,4,3歳未勝利,1600,良,18,芝
