年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,スパークリシャール,セ,5,横山和,58.0,19.6,10,東京,9,府中S,2000,良,18,芝
2026,5,3,2,マルチャン,牡,6,小崎,58.0,77.7,18,東京,9,府中S,2000,良,18,芝
2026,5,3,3,マイネルルフラン,牡,7,柴田大,58.0,26.9,12,東京,9,府中S,2000,良,18,芝
2026,5,3,4,フクノブルーレイク,牡,4,松岡,58.0,12.2,6,東京,9,府中S,2000,良,18,芝
2026,5,3,5,アスクセクシーモア,牡,4,岩田康,58.0,6.5,3,東京,9,府中S,2000,良,18,芝
2026,5,3,6,トラマンダーレ,セ,6,団野,58.0,49.9,16,東京,9,府中S,2000,良,18,芝
2026,5,3,7,キャンドルナイト,牡,5,石橋脩,58.0,38.2,15,東京,9,府中S,2000,良,18,芝
2026,5,3,8,ミッキーゴールド,セ,4,菅原明,58.0,5.5,1,東京,9,府中S,2000,良,18,芝
2026,5,3,9,キュクヌス,牝,5,高杉,56.0,18.7,9,東京,9,府中S,2000,良,18,芝
2026,5,3,10,キングゾーン,牡,4,佐々木,58.0,11.9,5,東京,9,府中S,2000,良,18,芝
2026,5,3,11,ブラリディシームス,牡,4,ディー,58.0,13.1,7,東京,9,府中S,2000,良,18,芝
2026,5,3,12,ホウオウアートマン,牡,4,田辺,58.0,16.5,8,東京,9,府中S,2000,良,18,芝
2026,5,3,13,エンタングル,牡,6,浜中,58.0,27.6,13,東京,9,府中S,2000,良,18,芝
2026,5,3,14,イケイケドンドン,牡,6,木幡巧,58.0,69.6,17,東京,9,府中S,2000,良,18,芝
2026,5,3,15,ログラール,牡,5,横山武,58.0,5.5,2,東京,9,府中S,2000,良,18,芝
2026,5,3,16,チルカーノ,牝,5,原,56.0,23.0,11,東京,9,府中S,2000,良,18,芝
2026,5,3,17,ユキワリザクラ,牝,5,三浦,56.0,8.9,4,東京,9,府中S,2000,良,18,芝
2026,5,3,18,モズロックンロール,牡,6,西塚,58.0,35.7,14,東京,9,府中S,2000,良,18,芝
