年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,エコロガイア,牡,5,中井,57.0,13.8,8,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,2,ポールセン,牡,4,丹内,57.0,6.3,2,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,3,ショウナンアビアス,牡,6,コンサルベ,58.0,13.3,7,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,4,ブレーザー,牡,5,斎藤,58.0,7.3,5,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,5,レアンダー,牡,5,亀田,58.0,49.9,14,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,6,サフランヒーロー,牡,5,黛,58.0,27.6,11,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,7,エスカル,牡,5,丸山,58.0,9.1,6,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,8,サンライズパスカル,牡,6,富田,58.0,6.6,3,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,9,ボナティブロー,牡,5,田山,57.0,38.6,12,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,10,エナジー,牡,6,石川,57.0,5.2,1,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,11,アルムラトゥール,牡,6,横山琉,58.0,25.6,10,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,12,スリーピース,セ,4,吉田隼,58.0,21.7,9,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,13,エティエンヌ,セ,7,長岡,58.0,58.2,15,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,14,グッジョブ,牡,6,菊沢,58.0,41.1,13,新潟,11,越後S,1200,稍重,15,ダ
2026,5,3,15,ルディック,牡,5,小沢,58.0,6.7,4,新潟,11,越後S,1200,稍重,15,ダ
