年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,ウォータースパウト,牝,3,高杉,55.0,10.1,7,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,2,ルンベーラ,牝,3,佐々木,55.0,22.0,8,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,3,エフハリスト,牝,3,横山和,55.0,5.9,2,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,4,キャルキュラス,牝,3,ディー,55.0,8.4,5,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,5,アスパラゴ,牝,3,大野,55.0,62.6,13,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,6,クレープレモネード,牝,3,松岡,55.0,106.3,15,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,7,フレンズプラッサム,牝,3,木幡巧,55.0,33.9,10,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,8,アジャイブ,牝,3,長浜,53.0,53.1,11,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,9,ディープマウンテン,牝,3,木幡初,55.0,55.2,12,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,10,シンデレラカラー,牝,3,岩田康,55.0,7.7,4,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,11,ライヴスリリータ,牝,3,石橋脩,55.0,24.8,9,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,12,イデアクリスタル,牝,3,横山武,55.0,6.1,3,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,13,ブルーサーマル,牝,3,原,55.0,3.5,1,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,14,マウンテンドーター,牝,3,柴田大,55.0,103.2,14,東京,1,3歳未勝利,1600,稍重,15,ダ
2026,5,3,15,メリティス,牝,3,吉田豊,55.0,9.1,6,東京,1,3歳未勝利,1600,稍重,15,ダ
